;TYPE,X_POS,Y-POS,Z-POS,SHAPE,DIST FILE,QUANT,RADIUS,LENGTH,Y-ROT,Z-ROT,PROP,PARAM
;30-290,,,,,,,,,,,,
Resources    Asteroid,32501,285060,18764,Cylinder,Tiny.dist,10,5000,75706,-29.71741572,-8.6417699,?,?
Resources    Asteroid,95289,265634,55015,Cylinder,Tiny.dist,10,5000,75706,-27.51307188,-25.55980341,?,?
Resources    Asteroid,151583,228105,87516,Cylinder,Tiny.dist,10,5000,75706,-23.36841967,-41.54054935,?,?
Resources    Asteroid,197546,175032,114053,Cylinder,Tiny.dist,10,5000,75706,-17.72160317,-56.39513535,?,?
Resources    Asteroid,230047,110030,132818,Cylinder,Tiny.dist,10,5000,75706,-11.03043729,-70.26620472,?,?
Resources    Asteroid,246871,37529,142531,Cylinder,Tiny.dist,10,5000,75706,-3.740928974,-83.49383021,?,?
Resources    Asteroid,-32501,-285060,-18764,Cylinder,Tiny.dist,10,5000,75706,-29.71741572,-8.6417699,?,?
Resources    Asteroid,-95289,-265634,-55015,Cylinder,Tiny.dist,10,5000,75706,-27.51307188,-25.55980341,?,?
Resources    Asteroid,-151583,-228105,-87516,Cylinder,Tiny.dist,10,5000,75706,-23.36841967,-41.54054935,?,?
Resources    Asteroid,-197546,-175032,-114053,Cylinder,Tiny.dist,10,5000,75706,-17.72160317,-56.39513535,?,?
Resources    Asteroid,-230047,-110030,-132818,Cylinder,Tiny.dist,10,5000,75706,-11.03043729,-70.26620472,?,?
Resources    Asteroid,-246871,-37529,-142531,Cylinder,Tiny.dist,10,5000,75706,-3.740928974,-83.49383021,?,?
Resources    Asteroid,32501,-285060,18764,Cylinder,Tiny.dist,10,5000,75706,-29.71741572,8.6417699,?,?
Resources    Asteroid,95289,-265634,55015,Cylinder,Tiny.dist,10,5000,75706,-27.51307188,25.55980341,?,?
Resources    Asteroid,151583,-228105,87516,Cylinder,Tiny.dist,10,5000,75706,-23.36841967,41.54054935,?,?
Resources    Asteroid,197546,-175032,114053,Cylinder,Tiny.dist,10,5000,75706,-17.72160317,56.39513535,?,?
Resources    Asteroid,230047,-110030,132818,Cylinder,Tiny.dist,10,5000,75706,-11.03043729,70.26620472,?,?
Resources    Asteroid,246871,-37529,142531,Cylinder,Tiny.dist,10,5000,75706,-3.740928974,83.49383021,?,?
Resources    Asteroid,-32501,285060,-18764,Cylinder,Tiny.dist,10,5000,75706,-29.71741572,8.6417699,?,?
Resources    Asteroid,-95289,265634,-55015,Cylinder,Tiny.dist,10,5000,75706,-27.51307188,25.55980341,?,?
Resources    Asteroid,-151583,228105,-87516,Cylinder,Tiny.dist,10,5000,75706,-23.36841967,41.54054935,?,?
Resources    Asteroid,-197546,175032,-114053,Cylinder,Tiny.dist,10,5000,75706,-17.72160317,56.39513535,?,?
Resources    Asteroid,-230047,110030,-132818,Cylinder,Tiny.dist,10,5000,75706,-11.03043729,70.26620472,?,?
Resources    Asteroid,-246871,37529,-142531,Cylinder,Tiny.dist,10,5000,75706,-3.740928974,83.49383021,?,?

;30-330,,,,,,,,,,,,
;7th Planet,,,,,,,,,,,,
Resources    Asteroid,-261777,-125206,-151137,Cylinder,Tiny.dist,100,2000,4000,0,0,?,?
Resources    Asteroid,-261777,-125206,-151137,Cylinder,Tiny.dist,100,2000,4000,45,45,?,?
Resources    DustCloud,-261777,-125206,-151137,Cylinder,DustCloud.dist,20,2000,4000,0,0,?,?
Resources    DustCloud,-261777,-125206,-151137,Cylinder,DustCloud.dist,20,2000,4000,45,45,?,?
;7th PlanetTrailing,,,,,,,,,,,,
Resources    Asteroid,-224793,-199174,-129784,Cylinder,Tiny.dist,15,1500,86148,-17.72160317,-56.39513535,?,?
Resources    Asteroid,-261777,-125206,-151137,Cylinder,Tiny.dist,30,3000,86148,-11.03043729,-70.26620472,?,?
Resources    Asteroid,-280921,-42706,-162190,Cylinder,Tiny.dist,15,1500,86148,-3.740928974,-83.49383021,?,?
Resources    DustCloud,-224793,-199174,-129784,Cylinder,DustCloud.dist,10,1500,86148,-17.72160317,-56.39513535,?,?
Resources    DustCloud,-261777,-125206,-151137,Cylinder,DustCloud.dist,15,3000,86148,-11.03043729,-70.26620472,?,?
Resources    DustCloud,-280921,-42706,-162190,Cylinder,DustCloud.dist,10,1500,86148,-3.740928974,-83.49383021,?,?

;30-350,,,,,,,,,,,,
Resources    Asteroid,39226,344037,22647,Cylinder,Tiny.dist,7,5000,91369,-29.71741572,-8.6417699,?,?
Resources    Asteroid,115004,320592,66398,Cylinder,Tiny.dist,7,5000,91369,-27.51307188,-25.55980341,?,?
Resources    Asteroid,182944,275299,105623,Cylinder,Tiny.dist,7,5000,91369,-23.36841967,-41.54054935,?,?
Resources    Asteroid,238417,211245,137650,Cylinder,Tiny.dist,7,5000,91369,-17.72160317,-56.39513535,?,?
Resources    Asteroid,277643,132795,160297,Cylinder,Tiny.dist,7,5000,91369,-11.03043729,-70.26620472,?,?
Resources    Asteroid,297947,45295,172020,Cylinder,Tiny.dist,7,5000,91369,-3.740928974,-83.49383021,?,?
Resources    Asteroid,-39226,-344037,-22647,Cylinder,Tiny.dist,7,5000,91369,-29.71741572,-8.6417699,?,?
Resources    Asteroid,-115004,-320592,-66398,Cylinder,Tiny.dist,7,5000,91369,-27.51307188,-25.55980341,?,?
Resources    Asteroid,-182944,-275299,-105623,Cylinder,Tiny.dist,7,5000,91369,-23.36841967,-41.54054935,?,?
Resources    Asteroid,-238417,-211245,-137650,Cylinder,Tiny.dist,7,5000,91369,-17.72160317,-56.39513535,?,?
Resources    Asteroid,-277643,-132795,-160297,Cylinder,Tiny.dist,7,5000,91369,-11.03043729,-70.26620472,?,?
Resources    Asteroid,-297947,-45295,-172020,Cylinder,Tiny.dist,7,5000,91369,-3.740928974,-83.49383021,?,?
Resources    Asteroid,39226,-344037,22647,Cylinder,Tiny.dist,7,5000,91369,-29.71741572,8.6417699,?,?
Resources    Asteroid,115004,-320592,66398,Cylinder,Tiny.dist,7,5000,91369,-27.51307188,25.55980341,?,?
Resources    Asteroid,182944,-275299,105623,Cylinder,Tiny.dist,7,5000,91369,-23.36841967,41.54054935,?,?
Resources    Asteroid,238417,-211245,137650,Cylinder,Tiny.dist,7,5000,91369,-17.72160317,56.39513535,?,?
Resources    Asteroid,277643,-132795,160297,Cylinder,Tiny.dist,7,5000,91369,-11.03043729,70.26620472,?,?
Resources    Asteroid,297947,-45295,172020,Cylinder,Tiny.dist,7,5000,91369,-3.740928974,83.49383021,?,?
Resources    Asteroid,-39226,344037,-22647,Cylinder,Tiny.dist,7,5000,91369,-29.71741572,8.6417699,?,?
Resources    Asteroid,-115004,320592,-66398,Cylinder,Tiny.dist,7,5000,91369,-27.51307188,25.55980341,?,?
Resources    Asteroid,-182944,275299,-105623,Cylinder,Tiny.dist,7,5000,91369,-23.36841967,41.54054935,?,?
